birthday,name,profile_url
January 1,Takeo Gouda,character.php?id=71268
January 1,Akane Koumoto,character.php?id=73471
January 1,Daikichi Komusubi,character.php?id=49437
January 1,Tama Sakai,character.php?id=66847
January 1,Bang Shishigami,character.php?id=24125
January 1,Pepper,character.php?id=55034
January 1,Mito Jujo,character.php?id=73311
January 1,Mai Shiranui,character.php?id=29245
January 1,Ritsu,character.php?id=72681
January 1,Sumomo,character.php?id=8774
January 1,Sephiria Arks,character.php?id=15368
January 1,Ran Tao,character.php?id=44545
January 1,Tsubaki Takenaka,character.php?id=63463
January 1,Hiiragi Takenaka,character.php?id=63464
January 1,Daz Bones,character.php?id=27225
January 1,Kaede Tenjouji,character.php?id=20917
January 1,Toki Fujiwara,character.php?id=48282
January 1,Minoru Tomii,character.php?id=68567
January 1,Patrick Colasour,character.php?id=64969
January 1,Hamaji,character.php?id=56819
January 1,Yukichi Fukazawa,character.php?id=67192
January 1,Hawk Mama,character.php?id=78970
January 1,Portgas D. Ace,character.php?id=20428
January 1,Might Guy,character.php?id=10912
January 1,Mao,character.php?id=9958
January 1,Machi,character.php?id=251
January 1,Kyle Matsutake,character.php?id=61026
January 1,Mayumi Thyme,character.php?id=13307
January 1,Gaou Mikado,character.php?id=65754
January 1,Aoi Mishina,character.php?id=20237
January 1,Anji Mito,character.php?id=10639
January 1,Miranda Lotto,character.php?id=22254
January 1,Reinhard van Astrea,character.php?id=76950
January 1,Sayori Rikimaru,character.php?id=5478
January 1,Kaede Rukawa,character.php?id=54484
January 1,Juri Han,character.php?id=77484
January 1,Kei,character.php?id=31262
January 1,Yoruichi Shihouin (cat form),character.php?id=28603
January 1,Batsu Ichimonji,character.php?id=85929
January 1,Molly Baker,character.php?id=26755
January 1,Sumomo,character.php?id=9481
January 1,Ren Tao,character.php?id=16176
January 1,Sakura Saginomiya ,character.php?id=20327
January 1,Johji Ohtomo,character.php?id=62825
January 1,Yuuhi Shinatsuhiko,character.php?id=5430
January 1,Ayumu Itami,character.php?id=14555
January 1,Misuzu,character.php?id=27198
January 1,Shirohebi Nagaraya,character.php?id=90116
January 1,Ageha Kuki,character.php?id=33497
January 1,Portgas D. Ace (young),character.php?id=48783
January 1,Taizo Hori,character.php?id=90580
January 1,Gengorou Kouno,character.php?id=54144
January 1,Cervantes de Leon,character.php?id=19685
January 1,Edge Master,character.php?id=19687
January 1,Gokyoya,character.php?id=12543
January 1,Mai Shiranui (DOA),character.php?id=86940
January 1,Bankotsubo,character.php?id=86972
January 1,Makoto Domyoji,character.php?id=53297
January 1,Mariya Shirou,character.php?id=52496
January 1,Asahi Mitaka,character.php?id=84540
January 1,Mikari Izumigamine,character.php?id=90612
January 1,Motoki Kaidzu,character.php?id=44795
January 1,Koji Shinomiya,character.php?id=24515
January 1,Sayuki Yanagida,character.php?id=21931
January 1,Rani VIII,character.php?id=38210
January 1,Kururi Semimaru,character.php?id=20000
January 1,Hiyori Himeta,character.php?id=58698
January 1,Eclair Saimon,character.php?id=51414
January 1,Tiger,character.php?id=59673
January 1,Mira,character.php?id=12055
January 1,Gordes Musik Yggdmillennia,character.php?id=81704
January 1,Nagisa_Suzushiro,character.php?id=24217
January 1,Nagisa Suzushiro,character.php?id=24216
January 1,Souryuu Sumeragi,character.php?id=14182
January 1,Aoi Taiga,character.php?id=57213
January 1,Chisato Momose,character.php?id=67292
January 1,Mao Sakura,character.php?id=5944
January 1,Gakuencho,character.php?id=58959
January 1,Chiyoko Fujiwara,character.php?id=49074
January 1,Zac,character.php?id=77837
January 1,School principal,character.php?id=34116
January 1,Matsuri Izumi,character.php?id=14389
January 1,Giotto Vongola I,character.php?id=47044
January 1,Moon,character.php?id=78333
January 1,Kate,character.php?id=47347
January 1,Hanji Urabe,character.php?id=81224
January 1,'Shin''ichi Mechazawa',character.php?id=62394
January 1,Nisuke Tominaga,character.php?id=72770
January 1,Ryouta Asagi,character.php?id=91335
January 1,Tachiaki Daichi,character.php?id=93451
January 1,Kaguya Shinomiya,character.php?id=93364
January 1,Aloe,character.php?id=93775
January 1,Grim Aloe,character.php?id=93776
January 1,Cara Olivia,character.php?id=95072
January 1,Tokino Minazuki,character.php?id=95083
January 1,Misaki Kirishima,character.php?id=99150
January 1,Gary Douglas,character.php?id=52350
January 2,Add (Arc Tracer),character.php?id=82683
January 2,Yume Asakura,character.php?id=278
January 2,Chry Santhemum,character.php?id=50386
January 2,Tsubomi Kido,character.php?id=47533
January 2,Add,character.php?id=79741
January 2,Mio Aoyama,character.php?id=23484
January 2,Emelenzia Beatrix Rudiger,character.php?id=13190
January 2,Mimori Kishida,character.php?id=43682
January 2,Sir Nighteye,character.php?id=84225
January 2,Taichi Dan,character.php?id=26876
January 2,Marie Tennouji,character.php?id=36570
January 2,Doctor Kenzo Tenma,character.php?id=14305
January 2,Kazuto Tonoma,character.php?id=23959
January 2,Naisunyi,character.php?id=62205
January 2,Mutsuki Nakano,character.php?id=73578
January 2,Mitsuhiko Nagafukada,character.php?id=75277
January 2,Peeply Lulu ,character.php?id=47652
January 2,Maria Louise,character.php?id=64628
January 2,Reina Suzuki,character.php?id=64952
January 2,Gralat Berlurik,character.php?id=82165
January 2,Minami Okamoto,character.php?id=2104
January 2,Shun Di,character.php?id=63736
January 2,Isshinsai Ogata,character.php?id=58595
January 2,Masoo,character.php?id=84046
January 2,Marie Moriya / Mesomeso,character.php?id=26942
January 2,Kinjirou Okina,character.php?id=20637
January 2,Add (Diabolic Esper),character.php?id=82686
January 2,Add (Lunatic Psyker),character.php?id=80643
January 2,Add (Mastermind),character.php?id=82684
January 2,Add (Psychic Tracer),character.php?id=82510
January 2,Add (Time Tracer),character.php?id=82685
January 2,Lilith,character.php?id=54669
January 3,Wataru Asahina,character.php?id=33962
January 3,Alecdora Sandler,character.php?id=89556
January 3,Masanori Shinozaki,character.php?id=35249
January 3,Rein Suzushiro,character.php?id=12088
January 3,Hijiri Kirishima,character.php?id=46
January 3,Diane Luc Elbatos Fontaine,character.php?id=72479
January 3,Leon Kuwata,character.php?id=60958
January 3,Tomoe Murakami,character.php?id=78859
January 3,Iceburg ,character.php?id=47650
January 3,Haruaki Azuma,character.php?id=74178
January 3,Tenri Ayukawa,character.php?id=48230
January 3,Masako Araki,character.php?id=68040
January 3,Hiromi Iwasa,character.php?id=67856
January 3,Seiko Kasuganomichi,character.php?id=25396
January 3,Fujitaka Kinomoto,character.php?id=12391
January 3,Shin-Ah,character.php?id=69494
January 3,Mutsuki Tsuyama,character.php?id=18249
January 3,Itsumi Natsume,character.php?id=79129
January 3,Natose,character.php?id=1039
January 3,Kotone Noda,character.php?id=65040
January 3,Fuu Nam Chai,character.php?id=19058
January 3,Yuki Fukazawa,character.php?id=12686
January 3,Shinji Fuyushima,character.php?id=74171
January 3,Homura,character.php?id=53280
January 3,Keisuke Yuuki,character.php?id=67509
January 3,Yukino Yukinoshita,character.php?id=61452
January 3,Tamaki Yurine,character.php?id=75663
January 3,Gan Isurugi,character.php?id=85960
January 3,Iceburg (young),character.php?id=48654
January 3,Miss Killer,character.php?id=79105
January 3,Fujitaka,character.php?id=9453
January 3,Kyoshiro Tohdoh,character.php?id=9972
January 3,Bart Garsus,character.php?id=16333
January 3,Natsuki Iwakura,character.php?id=32466
January 3,Aisa,character.php?id=48647
January 3,Ein Romberg,character.php?id=24895
January 3,Xiaolong,character.php?id=30504
January 3,Yukina Chitose,character.php?id=902
January 3,Honoka Himeishi,character.php?id=29073
January 3,Sakamoto Ryouma,character.php?id=86843
January 3,Ichiro Ogami,character.php?id=12796
January 3,Kanou Riichirou,character.php?id=32712
January 3,Wanderer,character.php?id=32713
January 3,Hiiragi Kyoichiro,character.php?id=54419
January 3,Ran Nogami,character.php?id=25316
January 3,Rin Nogami,character.php?id=25317
January 3,Shizuka Aribe,character.php?id=22663
January 3,Cyan Garamonde,character.php?id=41617
January 3,Laguna Loire,character.php?id=23135
January 3,Arata Inanaki,character.php?id=91939
January 3,Kazumi Mishima,character.php?id=96660
January 4,Torii Natsumi,character.php?id=26344
January 4,Kazumi Tsubata,character.php?id=47371
January 4,Shin Inaho,character.php?id=12090
January 4,Kotonoha Katsura,character.php?id=2471
January 4,Masamune Toya,character.php?id=57408
January 4,Arthur Trine,character.php?id=9798
January 4,Atashino,character.php?id=77516
January 4,Kaname Izuma,character.php?id=52451
January 4,Shin Inaho,character.php?id=25080
January 4,Iyo,character.php?id=29147
January 4,Kranz Maduke,character.php?id=15354
January 4,Crocus,character.php?id=48255
January 4,Sakura Amatsuka,character.php?id=23240
January 4,Michio Sumiyoshi,character.php?id=77815
January 4,Soruen Wakaosa,character.php?id=47707
January 4,Aoba Tsuzaki,character.php?id=9747
January 4,Aiichiro Nitori,character.php?id=63582
January 4,Yui Nonohara,character.php?id=3535
January 4,Takeru Fujiwara,character.php?id=75500
January 4,Fumiki Mizutani,character.php?id=70011
January 4,Yumeno Kyuusaku,character.php?id=83262
January 4,El Cid,character.php?id=73143
January 4,Galand,character.php?id=99281
January 4,Shin Inaho,character.php?id=25064
January 4,Tsumugi Saginomiya,character.php?id=27156
January 4,Yasuho Kojima,character.php?id=43590
January 4,Werner Gretenthal,character.php?id=29779
January 4,Hald,character.php?id=93765
January 4,Grim Hald,character.php?id=93766
January 4,Senkuu Ishigami,character.php?id=95996
January 4,Ingrid,character.php?id=96753
January 4,Rin Tsukimiya,character.php?id=98111
January 4,Tsubomi Hiiragi,character.php?id=101288
January 5,Ichigo Amai,character.php?id=71403
January 5,Yukiya Yamino,character.php?id=29502
January 5,Keitaro Urashima,character.php?id=4391
January 5,Ichigo Raidou,character.php?id=17804
January 5,Anju Rindou,character.php?id=71680
January 5,Ichigo Amano,character.php?id=41502
January 5,Inumaru,character.php?id=9569
January 5,Ozma Lee,character.php?id=10403
January 5,Momiji Kanou,character.php?id=58062
January 5,Tsubone Kuki,character.php?id=33503
January 5,John Brown,character.php?id=32427
January 5,Berry Shirayuki,character.php?id=22268
January 5,Strawberry ,character.php?id=47841
January 5,Shion Toudou,character.php?id=69443
January 5,Mei Narumiya,character.php?id=67478
January 5,Kuroh Yatogami,character.php?id=53417
January 5,Ryou Yoake,character.php?id=77329
January 5,Sana Kirishima,character.php?id=69711
January 5,Ayane Houshou,character.php?id=62310
January 5,Yuzuki Komagata,character.php?id=69739
January 5,Rance,character.php?id=19271
January 5,Ichigo Yamabe,character.php?id=1609
January 5,Sora Ousaka,character.php?id=67426
January 5,Ichigo Sagara,character.php?id=24208
January 5,Maguro Sasaki,character.php?id=79378
January 5,Kugel Schenk,character.php?id=29624
January 5,Hyacinth,character.php?id=98090
January 5,Sakura Shindou,character.php?id=99134
January 5,Larry Light,character.php?id=43804
January 6,Kiyoko Shimizu,character.php?id=67881
January 6,Kanako Mimura,character.php?id=70347
January 6,Makoto Sawatari,character.php?id=111
January 6,Kyo Kugami,character.php?id=54366
January 6,Riku Saisu,character.php?id=76998
January 6,Hotaru Tomoe,character.php?id=12337
January 6,Sailor Saturn,character.php?id=12376
January 6,Amidamaru,character.php?id=16310
January 6,Alice Beckham,character.php?id=65784
January 6,Oimo ,character.php?id=48984
January 6,Bunwa Kaku,character.php?id=39072
January 6,Sirius,character.php?id=62098
January 6,Cammy White,character.php?id=20472
January 6,Aoi Kirishima,character.php?id=29139
January 6,Kougaiji,character.php?id=20278
January 6,Shingo Komoi,character.php?id=64115
January 6,Danzo Shimura,character.php?id=48676
January 6,'Jeanne d''Arc',character.php?id=78110
January 6,Tatsuma Suguro,character.php?id=44331
January 6,Tilestone,character.php?id=47651
January 6,Suzune Tanahashi,character.php?id=61482
January 6,Darui,character.php?id=48678
January 6,Chizuru Toomi,character.php?id=44425
January 6,Haji,character.php?id=73952
January 6,Lan,character.php?id=36208
January 6,Saki Morimi,character.php?id=17056
January 6,Nobara Yukinokouji,character.php?id=36060
January 6,Liz,character.php?id=76845
January 6,Luigi Torelli,character.php?id=82865
January 6,Lazenby,character.php?id=39006
January 6,Erlock Sholmes,character.php?id=77097
January 6,Anthony Lester,character.php?id=44894
January 6,Ebizou,character.php?id=48728
January 6,Jeanne,character.php?id=77253
January 6,Phoebe Theodorakis,character.php?id=48214
January 6,Papo,character.php?id=62223
January 6,Yoshiko Katayama,character.php?id=51424
January 6,'Jeanne d''Arc',character.php?id=81689
January 6,Anna Nishikinomiya,character.php?id=73910
January 6,Stella Loussier,character.php?id=48953
January 6,Oluo Bossard,character.php?id=59645
January 6,Nene Kinokuni,character.php?id=89610
January 7,Konekomaru Miwa,character.php?id=25681
January 7,Cure Whip,character.php?id=78622
January 7,Ichika Usami,character.php?id=78621
January 7,Ayu Tsukimiya,character.php?id=107
January 7,Nanakusa Shirane,character.php?id=71733
January 7,Ichika Sengoku,character.php?id=73926
January 7,Karen Ichijou,character.php?id=25786
January 7,Nagi Minokasa,character.php?id=76944
January 7,Masamune Makabe,character.php?id=78466
January 7,Haruhiko Ichijo,character.php?id=75400
January 7,Shizuko Kaga,character.php?id=21533
January 7,Katia Waldheim,character.php?id=75971
January 7,Kaho,character.php?id=16810
January 7,Kuribou,character.php?id=77593
January 7,Umeko Kojima,character.php?id=14162
January 7,Samui,character.php?id=24298
January 7,Ji Guang-Hong,character.php?id=78032
January 7,Aine Shizuma,character.php?id=18814
January 7,Akira Takizawa,character.php?id=17049
January 7,Ai Ninomiya,character.php?id=77407
January 7,Makoto Ninomiya,character.php?id=77408
January 7,Tsugumi Hazawa,character.php?id=81949
January 7,Yukina Himeragi,character.php?id=64238
January 7,Paylor Sakaki,character.php?id=35317
January 7,Homurabi,character.php?id=63016
January 7,Nagi Mikado,character.php?id=63861
January 7,Mozu,character.php?id=47654
January 7,Misa Hasegawa,character.php?id=32597
January 7,Ingrid,character.php?id=16075
January 7,Yuika Suse,character.php?id=45108
January 7,Harune Momotani,character.php?id=2872
January 7,Makoto Mita,character.php?id=27469
January 7,Miyuu Inagaki,character.php?id=23641
January 7,Kennyo,character.php?id=90135
January 7,Ichiko Kasakura,character.php?id=15936
January 7,Seth,character.php?id=89450
January 7,Kanon Kurebayashi,character.php?id=94998
January 7,Yoru Tsubamesawa,character.php?id=95435
January 7,Ryouko Yoshida,character.php?id=95901
January 7,Togaru Kamakiri,character.php?id=91238
January 7,Rot Spinne,character.php?id=99318
January 8,Monaco,character.php?id=48025
January 8,Emily Stewart,character.php?id=75358
January 8,Kazuha Shibasaki,character.php?id=78501
January 8,Hajime Mutsuki,character.php?id=77522
January 8,Labrador,character.php?id=17103
January 8,Mars,character.php?id=89603
January 8,Akatsuki Izumo,character.php?id=28934
January 8,Emporio Ivankov (male form),character.php?id=27226
January 8,Garnet,character.php?id=37622
January 8,Kaga Tetsuo,character.php?id=79749
January 8,Hisako Kajiura,character.php?id=24135
January 8,Magical Teacher Kanakura Yui,character.php?id=39296
January 8,Sumire Kanzaki ,character.php?id=12793
January 8,Matako Kijima,character.php?id=21191
January 8,Natsumi Koizumi,character.php?id=60752
January 8,Koko,character.php?id=21251
January 8,Ruka Suirenji,character.php?id=61003
January 8,Ching Tao,character.php?id=44546
January 8,Kazuo Noguchi,character.php?id=81549
January 8,Hinowa,character.php?id=21197
January 8,Hizashi Hyuga,character.php?id=56888
January 8,Rudbornn Chelute,character.php?id=61498
January 8,Grant,character.php?id=77244
January 8,Hiashi Hyuga,character.php?id=79582
January 8,Natsumi Koizumi,character.php?id=16491
January 8,Minami Takahashi,character.php?id=45900
January 8,Mokugyo Daruma,character.php?id=42842
January 8,Shuuitsu Tokigaya,character.php?id=90988
January 8,Shizuku Hoshikawa,character.php?id=29554
January 8,Keiji,character.php?id=90642
January 8,Hisako Kashiura,character.php?id=3568
January 8,Sumire Kirishima,character.php?id=25360
January 8,Sasalina Shilly,character.php?id=80744
January 8,Raquel Cardoso,character.php?id=93080
January 8,Grey,character.php?id=94598
January 8,Repulse,character.php?id=89842
January 9,Illear (Irea),character.php?id=34712
January 9,Lullshare,character.php?id=34713
January 9,Cale,character.php?id=51685
January 9,Mari Fukami,character.php?id=82174
January 9,Yoshie Hanabatake,character.php?id=82852
January 9,Tenko Chabashira,character.php?id=79492
January 9,Kyuuma Inuzuka,character.php?id=60934
January 9,Vanessa,character.php?id=29300
January 9,Woodney,character.php?id=15374
January 9,Aoi Ogiyama,character.php?id=33411
January 9,Kaoru Kyounosuke,character.php?id=11254
January 9,Kaede Kayano,character.php?id=70237
January 9,Karoku Arumerita,character.php?id=58159
January 9,Sayo Tomoe,character.php?id=6005
January 9,Haku,character.php?id=10913
January 9,Pickles ,character.php?id=48035
January 9,Yakumo Hidaka,character.php?id=30219
January 9,Poosya,character.php?id=39037
January 9,Brian Cruyfford,character.php?id=81455
January 9,Ikkyuu Hosokawa,character.php?id=59217
January 9,Honoka Kitano,character.php?id=84638
January 9,Nao Osanai,character.php?id=84641
January 9,Hiroe Hannen,character.php?id=84945
January 9,Yuu Otosaka,character.php?id=73650
January 9,Keiji Ukita,character.php?id=30284
January 9,Reika Rikudou,character.php?id=81714
January 9,Sayane Shiina,character.php?id=45816
January 9,Gai Tsutsugami,character.php?id=31920
January 9,Pavine,character.php?id=92775
January 9,Touya Kokonoe,character.php?id=98065
January 9,Yuuri Miyakaze,character.php?id=98893
January 10,Ittetsu Takeda,character.php?id=67882
January 10,Manami Naruse,character.php?id=51070
January 10,Yahiro Ifukube,character.php?id=13163
January 10,Shiho Yashiro / Rochefort,character.php?id=71340
January 10,Komachi Heinrich Miyamae,character.php?id=76468
January 10,Kazumi Asakura,character.php?id=13459
January 10,Arad Molders,character.php?id=76342
January 10,Al,character.php?id=76818
January 10,Ganjou Iwashige,character.php?id=59250
January 10,Don Valentino,character.php?id=56867
January 10,Shizuka Onimaru,character.php?id=78435
January 10,Caesar,character.php?id=53602
January 10,Jidanbou Ikkanzaka,character.php?id=39969
January 10,Nono Daichi,character.php?id=75655
January 10,Haman Karn,character.php?id=21385
January 10,Yukichi Fukuzawa,character.php?id=76220
January 10,Eustass Kid,character.php?id=20442
January 10,Leona Heidern,character.php?id=29273
January 10,Amane Toujou,character.php?id=69835
January 10,Eichi Tenshouin,character.php?id=81722
January 10,Tsuchiya Seishiro,character.php?id=39471
January 10,Toudou Tatsuko,character.php?id=41091
January 10,Moe Yabasawa,character.php?id=47672
January 10,Maya Kosugi,character.php?id=30578
January 10,Saeka Takatsuki,character.php?id=76263
January 10,Hijiri Mizuki,character.php?id=98678
January 11,Itsuki Sarawatari,character.php?id=54737
January 11,Kaolla Su,character.php?id=4390
January 11,Kaori Natsuki,character.php?id=9301
January 11,Shouto Todoroki,character.php?id=76746
January 11,Tatsuhiro Nome,character.php?id=77146
January 11,Akatsuchi,character.php?id=24886
January 11,Itomimizu,character.php?id=48039
January 11,Kaoru Indou,character.php?id=77559
January 11,Edytha Rossmann,character.php?id=82069
January 11,Yuuko Kanoe,character.php?id=43452
January 11,Ume Shiraume,character.php?id=32186
January 11,Slaine Troyard,character.php?id=67457
January 11,Keisei Tagami,character.php?id=39753
January 11,Michiru Takeda,character.php?id=76766
January 11,Yuzuhiko Tachibana,character.php?id=78392
January 11,Tracy,character.php?id=52786
January 11,Fuuta,character.php?id=18954
January 11,Tomo Minaguchi,character.php?id=13257
January 11,Yuusuke Yagi,character.php?id=77189
January 11,Rasati Tigres,character.php?id=41535
January 11,Lin Koujo,character.php?id=32430
January 11,Tsumiki Miniwa,character.php?id=43905
January 11,Antonov,character.php?id=80179
January 11,Jack Atlas,character.php?id=29184
January 11,Necalli,character.php?id=77601
January 11,Shion Kamiya,character.php?id=72421
January 11,Yuno,character.php?id=9214
January 11,Dalida Lolaha Chandra II,character.php?id=55160
January 11,Fuuta (adult),character.php?id=18967
January 11,Chihaya Uesugi,character.php?id=50790
January 11,Eliza,character.php?id=93801
January 11,Long Island,character.php?id=89716
January 11,Rhea,character.php?id=96778
January 11,Satoru Watabe,character.php?id=99673
January 11,Nana,character.php?id=14796
January 12,Yuumi Hoshino,character.php?id=5296
January 12,Yoh Tomoe,character.php?id=23279
January 12,Soujirou Sakaki,character.php?id=75293
January 12,Kim,character.php?id=84283
January 12,Donovan D. Dawson,character.php?id=84260
January 12,Elle Vianno,character.php?id=60898
January 12,Shura,character.php?id=62531
January 12,Mana Kamishiro,character.php?id=5684
January 12,Akari Koumoto,character.php?id=73472
January 12,Schneizel el Britannia,character.php?id=9969
January 12,Cinque,character.php?id=55088
January 12,Yoh Tomoe (young),character.php?id=71520
January 12,Makoto Hanamiya,character.php?id=67776
January 12,Hiluluk,character.php?id=47665
January 12,Itsuki Maeda,character.php?id=40889
January 12,Marina Ismail,character.php?id=64968
January 12,Ichirou Mihara,character.php?id=15678
January 12,Red King,character.php?id=69185
January 12,Arika Kutsumi,character.php?id=23635
January 12,Oswald,character.php?id=28184
January 12,Est Rinaudo,character.php?id=33141
January 12,Isao Kirishima,character.php?id=27401
January 12,Yoshinosuke Suzumi,character.php?id=69773
January 12,Liott Wolte,character.php?id=85161
January 12,Ramza Beoulve / Ramza Lugria,character.php?id=39847
January 12,Miyu Itsuki,character.php?id=97496
January 12,Erel Plowse,character.php?id=27346
January 12,Usada Pekora,character.php?id=100652
January 13,Rei Chigaya,character.php?id=71677
January 13,Makina Irisu,character.php?id=27332
January 13,Ikue Usami,character.php?id=75826
January 13,Ikaros Much ,character.php?id=49229
January 13,Cornelia li Britannia,character.php?id=9946
January 13,Kanji Sasahara,character.php?id=5363
January 13,Zynia,character.php?id=44794
January 13,Hirano Hasegawa,character.php?id=26022
January 13,Hades Aidoneus,character.php?id=66584
January 13,Tori Himemiya,character.php?id=81723
January 13,Cornelia (young),character.php?id=69131
January 13,White King,character.php?id=69177
January 13,Kaname Asagiri,character.php?id=90613
January 13,Kazami Tachibana,character.php?id=30276
January 13,Hirano Hasegawa,character.php?id=25811
January 13,Hotaru Mikuya,character.php?id=15935
January 13,Youko Kasuga,character.php?id=11378
January 13,Souta Takanashi,character.php?id=21351
January 13,Honoka Matsubara,character.php?id=72023
January 13,Gordon Agrippa,character.php?id=87617
January 13,Ikumi Amasawa,character.php?id=36961
January 13,Rito Sakuragibashi,character.php?id=95057
January 13,Youka Shibaneko,character.php?id=99162
January 14,Miu Fuurinji,character.php?id=13276
January 14,Yumi Matou,character.php?id=5071
January 14,Nene Oomori,character.php?id=52460
January 14,Tarou Kagiyama,character.php?id=75133
January 14,Rukia Kuchiki,character.php?id=2362
January 14,Siegfried Kircheis,character.php?id=17076
January 14,Ginka Shirokane,character.php?id=63300
January 14,Sweet Pea,character.php?id=48236
January 14,Shinako Suganuma,character.php?id=42907
January 14,Mana Tsukuyomi,character.php?id=3498
January 14,Aya Toujou,character.php?id=17187
January 14,Ayumu Tojo,character.php?id=21181
January 14,Sanae Nakajima,character.php?id=10168
January 14,Snoozer,character.php?id=54986
January 14,Kouji Mihama,character.php?id=72710
January 14,Sakuno Ryuzaki,character.php?id=26879
January 14,Kairi,character.php?id=77618
January 14,Heart Aino,character.php?id=13235
January 14,Mael,character.php?id=99289
January 14,Ayaka Asahina,character.php?id=90625
January 14,Raymond Bishop,character.php?id=64617
January 14,Maako Asagiri,character.php?id=15035
January 14,Kohane Koishikawa,character.php?id=39390
January 14,Kayo Inatani,character.php?id=15940
January 14,Anna,character.php?id=29549
January 14,Kanade Matsuoka,character.php?id=29844
January 14,Hermina,character.php?id=29618
January 14,Hermina,character.php?id=29770
January 14,Takashi Tono,character.php?id=91294
January 14,Yuuka Yanagawa,character.php?id=92711
January 14,Junko Kanno,character.php?id=97548
January 15,Mio Akiyama,character.php?id=17059
January 15,Akari Usada,character.php?id=33474
January 15,Ikuya Daidouji,character.php?id=135
January 15,Rui Saiga,character.php?id=50013
January 15,Seiya,character.php?id=50012
January 15,Ikuo Nanasaki,character.php?id=78667
January 15,A.O,character.php?id=48066
January 15,Aoi Saitou,character.php?id=72389
January 15,Masahiro Setagawa,character.php?id=82371
January 15,Miu Takanashi,character.php?id=36822
January 15,Heikichi Nakao,character.php?id=12606
January 15,Reiri Hida,character.php?id=77663
January 15,Shiki Mihara,character.php?id=40989
January 15,Midori Kawasaki,character.php?id=85312
January 15,Yuki Komatsu,character.php?id=89190
January 15,Kagura Mutsuki,character.php?id=83592
January 15,Kouhei Tanaka,character.php?id=26883
January 15,Youhei Tanaka,character.php?id=26884
January 15,Krista Lenz,character.php?id=61466
January 15,Maeda Toshiie,character.php?id=90674
January 15,Mio Akiyama (child),character.php?id=45959
January 15,Kazuto Kotetsu,character.php?id=85461
January 15,Mimori Sawaki,character.php?id=6029
January 15,Tomoe Yasumaru,character.php?id=15970
January 15,Akane Misasagi,character.php?id=12028
January 15,'Ken''ichirou Asahi',character.php?id=57204
January 15,Garnet til Alexandros XVII,character.php?id=37530
January 15,Kamui,character.php?id=91945
January 15,Ray,character.php?id=92935
January 15,Ayunda Risu,character.php?id=101838
January 15,Ririmu Makaino,character.php?id=101885
January 16,Revchi,character.php?id=89600
January 16,Shinya Koguma,character.php?id=53981
January 16,Junpei Iori,character.php?id=19651
January 16,Kaede Saitou,character.php?id=56682
January 16,Kaname Sonou,character.php?id=82154
January 16,Felix Argyle,character.php?id=77876
January 16,Miria Marigold Mackenzie,character.php?id=37660
January 16,Satori Miwa,character.php?id=62006
January 16,Eriko Tamura,character.php?id=56564
January 16,Chirin,character.php?id=77514
January 16,Takashi Ayanokoji,character.php?id=32360
January 16,Amanogawa Saya,character.php?id=88812
January 16,Mayumi Togashi,character.php?id=47367
January 16,Hajime Yaguchi,character.php?id=12162
January 16,Touya Kurosaki,character.php?id=12191
January 16,Yuika Mitsumine,character.php?id=91864
January 16,Sofia Kugel Westlinn,character.php?id=95114
