id,birthday,name,profile_url,anime_title
162,January 2,Reina Suzuki,character.php?id=64952,
163,January 2,Gralat Berlurik,character.php?id=82165,
164,January 2,Minami Okamoto,character.php?id=2104,
165,January 2,Shun Di,character.php?id=63736,
166,January 2,Isshinsai Ogata,character.php?id=58595,
167,January 2,Masoo,character.php?id=84046,
168,January 2,Marie Moriya / Mesomeso,character.php?id=26942,
169,January 2,Kinjirou Okina,character.php?id=20637,
170,January 2,Add (Diabolic Esper),character.php?id=82686,
171,January 2,Add (Lunatic Psyker),character.php?id=80643,
172,January 2,Add (Mastermind),character.php?id=82684,
173,January 2,Add (Psychic Tracer),character.php?id=82510,
174,January 2,Add (Time Tracer),character.php?id=82685,
175,January 2,Lilith,character.php?id=54669,
176,January 3,Wataru Asahina,character.php?id=33962,
177,January 3,Alecdora Sandler,character.php?id=89556,
178,January 3,Masanori Shinozaki,character.php?id=35249,
179,January 3,Rein Suzushiro,character.php?id=12088,
180,January 3,Hijiri Kirishima,character.php?id=46,
181,January 3,Diane Luc Elbatos Fontaine,character.php?id=72479,
182,January 3,Leon Kuwata,character.php?id=60958,
183,January 3,Tomoe Murakami,character.php?id=78859,
184,January 3,Iceburg ,character.php?id=47650,
185,January 3,Haruaki Azuma,character.php?id=74178,
186,January 3,Tenri Ayukawa,character.php?id=48230,
187,January 3,Masako Araki,character.php?id=68040,
188,January 3,Hiromi Iwasa,character.php?id=67856,
189,January 3,Seiko Kasuganomichi,character.php?id=25396,
190,January 3,Fujitaka Kinomoto,character.php?id=12391,
191,January 3,Shin-Ah,character.php?id=69494,
192,January 3,Mutsuki Tsuyama,character.php?id=18249,
193,January 3,Itsumi Natsume,character.php?id=79129,
194,January 3,Natose,character.php?id=1039,
195,January 3,Kotone Noda,character.php?id=65040,
196,January 3,Fuu Nam Chai,character.php?id=19058,
197,January 3,Yuki Fukazawa,character.php?id=12686,
198,January 3,Shinji Fuyushima,character.php?id=74171,
199,January 3,Homura,character.php?id=53280,
200,January 3,Keisuke Yuuki,character.php?id=67509,
201,January 3,Yukino Yukinoshita,character.php?id=61452,
202,January 3,Tamaki Yurine,character.php?id=75663,
203,January 3,Gan Isurugi,character.php?id=85960,
204,January 3,Iceburg (young),character.php?id=48654,
205,January 3,Miss Killer,character.php?id=79105,
206,January 3,Fujitaka,character.php?id=9453,
207,January 3,Kyoshiro Tohdoh,character.php?id=9972,
208,January 3,Bart Garsus,character.php?id=16333,
209,January 3,Natsuki Iwakura,character.php?id=32466,
210,January 3,Aisa,character.php?id=48647,
211,January 3,Ein Romberg,character.php?id=24895,
212,January 3,Xiaolong,character.php?id=30504,
213,January 3,Yukina Chitose,character.php?id=902,
214,January 3,Honoka Himeishi,character.php?id=29073,
215,January 3,Sakamoto Ryouma,character.php?id=86843,
216,January 3,Ichiro Ogami,character.php?id=12796,
217,January 3,Kanou Riichirou,character.php?id=32712,
218,January 3,Wanderer,character.php?id=32713,
219,January 3,Hiiragi Kyoichiro,character.php?id=54419,
220,January 3,Ran Nogami,character.php?id=25316,
221,January 3,Rin Nogami,character.php?id=25317,
222,January 3,Shizuka Aribe,character.php?id=22663,
223,January 3,Cyan Garamonde,character.php?id=41617,
224,January 3,Laguna Loire,character.php?id=23135,
225,January 3,Arata Inanaki,character.php?id=91939,
226,January 3,Kazumi Mishima,character.php?id=96660,
227,January 4,Torii Natsumi,character.php?id=26344,
228,January 4,Kazumi Tsubata,character.php?id=47371,
229,January 4,Shin Inaho,character.php?id=12090,
230,January 4,Kotonoha Katsura,character.php?id=2471,
231,January 4,Masamune Toya,character.php?id=57408,
232,January 4,Arthur Trine,character.php?id=9798,
233,January 4,Atashino,character.php?id=77516,
234,January 4,Kaname Izuma,character.php?id=52451,
235,January 4,Shin Inaho,character.php?id=25080,
236,January 4,Iyo,character.php?id=29147,
237,January 4,Kranz Maduke,character.php?id=15354,
238,January 4,Crocus,character.php?id=48255,
239,January 4,Sakura Amatsuka,character.php?id=23240,
240,January 4,Michio Sumiyoshi,character.php?id=77815,
241,January 4,Soruen Wakaosa,character.php?id=47707,
242,January 4,Aoba Tsuzaki,character.php?id=9747,
243,January 4,Aiichiro Nitori,character.php?id=63582,
244,January 4,Yui Nonohara,character.php?id=3535,
245,January 4,Takeru Fujiwara,character.php?id=75500,
246,January 4,Fumiki Mizutani,character.php?id=70011,
247,January 4,Yumeno Kyuusaku,character.php?id=83262,
248,January 4,El Cid,character.php?id=73143,
249,January 4,Galand,character.php?id=99281,
250,January 4,Shin Inaho,character.php?id=25064,
251,January 4,Tsumugi Saginomiya,character.php?id=27156,
252,January 4,Yasuho Kojima,character.php?id=43590,
253,January 4,Werner Gretenthal,character.php?id=29779,
254,January 4,Hald,character.php?id=93765,
255,January 4,Grim Hald,character.php?id=93766,
256,January 4,Senkuu Ishigami,character.php?id=95996,
257,January 4,Ingrid,character.php?id=96753,
258,January 4,Rin Tsukimiya,character.php?id=98111,
259,January 4,Tsubomi Hiiragi,character.php?id=101288,
260,January 5,Ichigo Amai,character.php?id=71403,
261,January 5,Yukiya Yamino,character.php?id=29502,
262,January 5,Keitaro Urashima,character.php?id=4391,
263,January 5,Ichigo Raidou,character.php?id=17804,
264,January 5,Anju Rindou,character.php?id=71680,
265,January 5,Ichigo Amano,character.php?id=41502,
266,January 5,Inumaru,character.php?id=9569,
267,January 5,Ozma Lee,character.php?id=10403,
268,January 5,Momiji Kanou,character.php?id=58062,
269,January 5,Tsubone Kuki,character.php?id=33503,
270,January 5,John Brown,character.php?id=32427,
271,January 5,Berry Shirayuki,character.php?id=22268,
272,January 5,Strawberry ,character.php?id=47841,
273,January 5,Shion Toudou,character.php?id=69443,
274,January 5,Mei Narumiya,character.php?id=67478,
275,January 5,Kuroh Yatogami,character.php?id=53417,
276,January 5,Ryou Yoake,character.php?id=77329,
277,January 5,Sana Kirishima,character.php?id=69711,
278,January 5,Ayane Houshou,character.php?id=62310,
279,January 5,Yuzuki Komagata,character.php?id=69739,
280,January 5,Rance,character.php?id=19271,
281,January 5,Ichigo Yamabe,character.php?id=1609,
282,January 5,Sora Ousaka,character.php?id=67426,
283,January 5,Ichigo Sagara,character.php?id=24208,
284,January 5,Maguro Sasaki,character.php?id=79378,
285,January 5,Kugel Schenk,character.php?id=29624,
286,January 5,Hyacinth,character.php?id=98090,
287,January 5,Sakura Shindou,character.php?id=99134,
288,January 5,Larry Light,character.php?id=43804,
289,January 6,Kiyoko Shimizu,character.php?id=67881,
290,January 6,Kanako Mimura,character.php?id=70347,
291,January 6,Makoto Sawatari,character.php?id=111,
292,January 6,Kyo Kugami,character.php?id=54366,
293,January 6,Riku Saisu,character.php?id=76998,
294,January 6,Hotaru Tomoe,character.php?id=12337,
295,January 6,Sailor Saturn,character.php?id=12376,
296,January 6,Amidamaru,character.php?id=16310,
297,January 6,Alice Beckham,character.php?id=65784,
298,January 6,Oimo ,character.php?id=48984,
299,January 6,Bunwa Kaku,character.php?id=39072,
300,January 6,Sirius,character.php?id=62098,
301,January 6,Cammy White,character.php?id=20472,
302,January 6,Aoi Kirishima,character.php?id=29139,
303,January 6,Kougaiji,character.php?id=20278,
304,January 6,Shingo Komoi,character.php?id=64115,
305,January 6,Danzo Shimura,character.php?id=48676,
306,January 6,'Jeanne d''Arc',character.php?id=78110,
307,January 6,Tatsuma Suguro,character.php?id=44331,
308,January 6,Tilestone,character.php?id=47651,
309,January 6,Suzune Tanahashi,character.php?id=61482,
310,January 6,Darui,character.php?id=48678,
311,January 6,Chizuru Toomi,character.php?id=44425,
312,January 6,Haji,character.php?id=73952,
313,January 6,Lan,character.php?id=36208,
314,January 6,Saki Morimi,character.php?id=17056,
315,January 6,Nobara Yukinokouji,character.php?id=36060,
316,January 6,Liz,character.php?id=76845,
317,January 6,Luigi Torelli,character.php?id=82865,
318,January 6,Lazenby,character.php?id=39006,
319,January 6,Erlock Sholmes,character.php?id=77097,
320,January 6,Anthony Lester,character.php?id=44894,
321,January 6,Ebizou,character.php?id=48728,
322,January 6,Jeanne,character.php?id=77253,
323,January 6,Phoebe Theodorakis,character.php?id=48214,
324,January 6,Papo,character.php?id=62223,
325,January 6,Yoshiko Katayama,character.php?id=51424,
326,January 6,'Jeanne d''Arc',character.php?id=81689,
327,January 6,Anna Nishikinomiya,character.php?id=73910,
328,January 6,Stella Loussier,character.php?id=48953,
329,January 6,Oluo Bossard,character.php?id=59645,
330,January 6,Nene Kinokuni,character.php?id=89610,
331,January 7,Konekomaru Miwa,character.php?id=25681,
332,January 7,Cure Whip,character.php?id=78622,
333,January 7,Ichika Usami,character.php?id=78621,
334,January 7,Ayu Tsukimiya,character.php?id=107,
335,January 7,Nanakusa Shirane,character.php?id=71733,
336,January 7,Ichika Sengoku,character.php?id=73926,
337,January 7,Karen Ichijou,character.php?id=25786,
338,January 7,Nagi Minokasa,character.php?id=76944,
339,January 7,Masamune Makabe,character.php?id=78466,
340,January 7,Haruhiko Ichijo,character.php?id=75400,
341,January 7,Shizuko Kaga,character.php?id=21533,
342,January 7,Katia Waldheim,character.php?id=75971,
343,January 7,Kaho,character.php?id=16810,
344,January 7,Kuribou,character.php?id=77593,
345,January 7,Umeko Kojima,character.php?id=14162,
346,January 7,Samui,character.php?id=24298,
347,January 7,Ji Guang-Hong,character.php?id=78032,
348,January 7,Aine Shizuma,character.php?id=18814,
349,January 7,Akira Takizawa,character.php?id=17049,
350,January 7,Ai Ninomiya,character.php?id=77407,
351,January 7,Makoto Ninomiya,character.php?id=77408,
352,January 7,Tsugumi Hazawa,character.php?id=81949,
353,January 7,Yukina Himeragi,character.php?id=64238,
354,January 7,Paylor Sakaki,character.php?id=35317,
355,January 7,Homurabi,character.php?id=63016,
356,January 7,Nagi Mikado,character.php?id=63861,
357,January 7,Mozu,character.php?id=47654,
358,January 7,Misa Hasegawa,character.php?id=32597,
359,January 7,Ingrid,character.php?id=16075,
360,January 7,Yuika Suse,character.php?id=45108,
361,January 7,Harune Momotani,character.php?id=2872,
362,January 7,Makoto Mita,character.php?id=27469,
363,January 7,Miyuu Inagaki,character.php?id=23641,
364,January 7,Kennyo,character.php?id=90135,
365,January 7,Ichiko Kasakura,character.php?id=15936,
366,January 7,Seth,character.php?id=89450,
367,January 7,Kanon Kurebayashi,character.php?id=94998,
368,January 7,Yoru Tsubamesawa,character.php?id=95435,
369,January 7,Ryouko Yoshida,character.php?id=95901,
370,January 7,Togaru Kamakiri,character.php?id=91238,
371,January 7,Rot Spinne,character.php?id=99318,
372,January 8,Monaco,character.php?id=48025,
373,January 8,Emily Stewart,character.php?id=75358,
374,January 8,Kazuha Shibasaki,character.php?id=78501,
375,January 8,Hajime Mutsuki,character.php?id=77522,
376,January 8,Labrador,character.php?id=17103,
377,January 8,Mars,character.php?id=89603,
378,January 8,Akatsuki Izumo,character.php?id=28934,
379,January 8,Emporio Ivankov (male form),character.php?id=27226,
380,January 8,Garnet,character.php?id=37622,
381,January 8,Kaga Tetsuo,character.php?id=79749,
382,January 8,Hisako Kajiura,character.php?id=24135,
383,January 8,Magical Teacher Kanakura Yui,character.php?id=39296,
384,January 8,Sumire Kanzaki ,character.php?id=12793,
385,January 8,Matako Kijima,character.php?id=21191,
386,January 8,Natsumi Koizumi,character.php?id=60752,
387,January 8,Koko,character.php?id=21251,
388,January 8,Ruka Suirenji,character.php?id=61003,
389,January 8,Ching Tao,character.php?id=44546,
390,January 8,Kazuo Noguchi,character.php?id=81549,
391,January 8,Hinowa,character.php?id=21197,
392,January 8,Hizashi Hyuga,character.php?id=56888,
393,January 8,Rudbornn Chelute,character.php?id=61498,
394,January 8,Grant,character.php?id=77244,
395,January 8,Hiashi Hyuga,character.php?id=79582,
396,January 8,Natsumi Koizumi,character.php?id=16491,
397,January 8,Minami Takahashi,character.php?id=45900,
398,January 8,Mokugyo Daruma,character.php?id=42842,
399,January 8,Shuuitsu Tokigaya,character.php?id=90988,
400,January 8,Shizuku Hoshikawa,character.php?id=29554,
401,January 8,Keiji,character.php?id=90642,
402,January 8,Hisako Kashiura,character.php?id=3568,
403,January 8,Sumire Kirishima,character.php?id=25360,
404,January 8,Sasalina Shilly,character.php?id=80744,
405,January 8,Raquel Cardoso,character.php?id=93080,
406,January 8,Grey,character.php?id=94598,
407,January 8,Repulse,character.php?id=89842,
408,January 9,Illear (Irea),character.php?id=34712,
409,January 9,Lullshare,character.php?id=34713,
410,January 9,Cale,character.php?id=51685,
411,January 9,Mari Fukami,character.php?id=82174,
412,January 9,Yoshie Hanabatake,character.php?id=82852,
413,January 9,Tenko Chabashira,character.php?id=79492,
414,January 9,Kyuuma Inuzuka,character.php?id=60934,
415,January 9,Vanessa,character.php?id=29300,
416,January 9,Woodney,character.php?id=15374,
417,January 9,Aoi Ogiyama,character.php?id=33411,
418,January 9,Kaoru Kyounosuke,character.php?id=11254,
419,January 9,Kaede Kayano,character.php?id=70237,
420,January 9,Karoku Arumerita,character.php?id=58159,
421,January 9,Sayo Tomoe,character.php?id=6005,
422,January 9,Haku,character.php?id=10913,
423,January 9,Pickles ,character.php?id=48035,
424,January 9,Yakumo Hidaka,character.php?id=30219,
425,January 9,Poosya,character.php?id=39037,
426,January 9,Brian Cruyfford,character.php?id=81455,
427,January 9,Ikkyuu Hosokawa,character.php?id=59217,
428,January 9,Honoka Kitano,character.php?id=84638,
429,January 9,Nao Osanai,character.php?id=84641,
430,January 9,Hiroe Hannen,character.php?id=84945,
431,January 9,Yuu Otosaka,character.php?id=73650,
432,January 9,Keiji Ukita,character.php?id=30284,
433,January 9,Reika Rikudou,character.php?id=81714,
434,January 9,Sayane Shiina,character.php?id=45816,
435,January 9,Gai Tsutsugami,character.php?id=31920,
436,January 9,Pavine,character.php?id=92775,
437,January 9,Touya Kokonoe,character.php?id=98065,
438,January 9,Yuuri Miyakaze,character.php?id=98893,
439,January 10,Ittetsu Takeda,character.php?id=67882,
440,January 10,Manami Naruse,character.php?id=51070,
441,January 10,Yahiro Ifukube,character.php?id=13163,
442,January 10,Shiho Yashiro / Rochefort,character.php?id=71340,
443,January 10,Komachi Heinrich Miyamae,character.php?id=76468,
444,January 10,Kazumi Asakura,character.php?id=13459,
445,January 10,Arad Molders,character.php?id=76342,
446,January 10,Al,character.php?id=76818,
447,January 10,Ganjou Iwashige,character.php?id=59250,
448,January 10,Don Valentino,character.php?id=56867,
449,January 10,Shizuka Onimaru,character.php?id=78435,
450,January 10,Caesar,character.php?id=53602,
451,January 10,Jidanbou Ikkanzaka,character.php?id=39969,
452,January 10,Nono Daichi,character.php?id=75655,
453,January 10,Haman Karn,character.php?id=21385,
454,January 10,Yukichi Fukuzawa,character.php?id=76220,
455,January 10,Eustass Kid,character.php?id=20442,
456,January 10,Leona Heidern,character.php?id=29273,
457,January 10,Amane Toujou,character.php?id=69835,
458,January 10,Eichi Tenshouin,character.php?id=81722,
459,January 10,Tsuchiya Seishiro,character.php?id=39471,
460,January 10,Toudou Tatsuko,character.php?id=41091,
461,January 10,Moe Yabasawa,character.php?id=47672,
462,January 10,Maya Kosugi,character.php?id=30578,
463,January 10,Saeka Takatsuki,character.php?id=76263,
464,January 10,Hijiri Mizuki,character.php?id=98678,
465,January 11,Itsuki Sarawatari,character.php?id=54737,
466,January 11,Kaolla Su,character.php?id=4390,
467,January 11,Kaori Natsuki,character.php?id=9301,
468,January 11,Shouto Todoroki,character.php?id=76746,
469,January 11,Tatsuhiro Nome,character.php?id=77146,
470,January 11,Akatsuchi,character.php?id=24886,
471,January 11,Itomimizu,character.php?id=48039,
472,January 11,Kaoru Indou,character.php?id=77559,
473,January 11,Edytha Rossmann,character.php?id=82069,
474,January 11,Yuuko Kanoe,character.php?id=43452,
475,January 11,Ume Shiraume,character.php?id=32186,
476,January 11,Slaine Troyard,character.php?id=67457,
477,January 11,Keisei Tagami,character.php?id=39753,
478,January 11,Michiru Takeda,character.php?id=76766,
479,January 11,Yuzuhiko Tachibana,character.php?id=78392,
480,January 11,Tracy,character.php?id=52786,
481,January 11,Fuuta,character.php?id=18954,
482,January 11,Tomo Minaguchi,character.php?id=13257,
483,January 11,Yuusuke Yagi,character.php?id=77189,
484,January 11,Rasati Tigres,character.php?id=41535,
485,January 11,Lin Koujo,character.php?id=32430,
486,January 11,Tsumiki Miniwa,character.php?id=43905,
487,January 11,Antonov,character.php?id=80179,
488,January 11,Jack Atlas,character.php?id=29184,
489,January 11,Necalli,character.php?id=77601,
490,January 11,Shion Kamiya,character.php?id=72421,
491,January 11,Yuno,character.php?id=9214,
492,January 11,Dalida Lolaha Chandra II,character.php?id=55160,
493,January 11,Fuuta (adult),character.php?id=18967,
494,January 11,Chihaya Uesugi,character.php?id=50790,
495,January 11,Eliza,character.php?id=93801,
496,January 11,Long Island,character.php?id=89716,
497,January 11,Rhea,character.php?id=96778,
498,January 11,Satoru Watabe,character.php?id=99673,
499,January 11,Nana,character.php?id=14796,
500,January 12,Yuumi Hoshino,character.php?id=5296,
501,January 12,Yoh Tomoe,character.php?id=23279,
502,January 12,Soujirou Sakaki,character.php?id=75293,
503,January 12,Kim,character.php?id=84283,
504,January 12,Donovan D. Dawson,character.php?id=84260,
505,January 12,Elle Vianno,character.php?id=60898,
506,January 12,Shura,character.php?id=62531,
507,January 12,Mana Kamishiro,character.php?id=5684,
508,January 12,Akari Koumoto,character.php?id=73472,
509,January 12,Schneizel el Britannia,character.php?id=9969,
510,January 12,Cinque,character.php?id=55088,
511,January 12,Yoh Tomoe (young),character.php?id=71520,
512,January 12,Makoto Hanamiya,character.php?id=67776,
513,January 12,Hiluluk,character.php?id=47665,
514,January 12,Itsuki Maeda,character.php?id=40889,
515,January 12,Marina Ismail,character.php?id=64968,
516,January 12,Ichirou Mihara,character.php?id=15678,
517,January 12,Red King,character.php?id=69185,
518,January 12,Arika Kutsumi,character.php?id=23635,
519,January 12,Oswald,character.php?id=28184,
520,January 12,Est Rinaudo,character.php?id=33141,
521,January 12,Isao Kirishima,character.php?id=27401,
522,January 12,Yoshinosuke Suzumi,character.php?id=69773,
523,January 12,Liott Wolte,character.php?id=85161,
524,January 12,Ramza Beoulve / Ramza Lugria,character.php?id=39847,
525,January 12,Miyu Itsuki,character.php?id=97496,
526,January 12,Erel Plowse,character.php?id=27346,
527,January 12,Usada Pekora,character.php?id=100652,
528,January 13,Rei Chigaya,character.php?id=71677,
529,January 13,Makina Irisu,character.php?id=27332,
530,January 13,Ikue Usami,character.php?id=75826,
531,January 13,Ikaros Much ,character.php?id=49229,
532,January 13,Cornelia li Britannia,character.php?id=9946,
533,January 13,Kanji Sasahara,character.php?id=5363,
534,January 13,Zynia,character.php?id=44794,
535,January 13,Hirano Hasegawa,character.php?id=26022,
536,January 13,Hades Aidoneus,character.php?id=66584,
537,January 13,Tori Himemiya,character.php?id=81723,
538,January 13,Cornelia (young),character.php?id=69131,
539,January 13,White King,character.php?id=69177,
540,January 13,Kaname Asagiri,character.php?id=90613,
541,January 13,Kazami Tachibana,character.php?id=30276,
542,January 13,Hirano Hasegawa,character.php?id=25811,
543,January 13,Hotaru Mikuya,character.php?id=15935,
544,January 13,Youko Kasuga,character.php?id=11378,
545,January 13,Souta Takanashi,character.php?id=21351,
546,January 13,Honoka Matsubara,character.php?id=72023,
547,January 13,Gordon Agrippa,character.php?id=87617,
548,January 13,Ikumi Amasawa,character.php?id=36961,
549,January 13,Rito Sakuragibashi,character.php?id=95057,
550,January 13,Youka Shibaneko,character.php?id=99162,
551,January 14,Miu Fuurinji,character.php?id=13276,
552,January 14,Yumi Matou,character.php?id=5071,
553,January 14,Nene Oomori,character.php?id=52460,
